序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
15,その糸は細いですか,いいえ、細くありません。,そのいとはほそいですか,いいえ、ほそくありません。,Is the thread thin?,那个线很细吗？,No，it is not thin.,不，它不细。
16,そのテーブルは丸いですか,いいえ、丸くないです。,そのてーぶるはまるいですか,いいえ、まるくないです。,Is the table round?,桌子是圆形的吗？,No，it is not round.,不，它不是圆的。
17,この本は安いですか,いいえ、安くないです。,このほんはやすいですか,いいえ、やすくないです。,Is this book cheap?,这本书便宜吗？,No，it is not cheap.,不，它不便宜。
18,この家は古いですか,いいえ、古くありません。,このいえはふるいですか,いいえ、ふるくありません。,Is this house old?,这房子旧吗？,No，it is not old.,不，它不旧。
19,その列車は長いですか,いいえ、長くありません。,そのれっしゃはながいですか,いいえ、ながくありません。,Is the train long?,那列火车长吗？,No，it is not long.,不，它不长。
20,彼の反応は早いですか,いいえ、早くないです。,かれのはんのうははやいですか,いいえ、はやくないです。,Is his reaction fast?,他的反应快吗？,No，it is not fast.,不，它不快。
21,この木は太いですか,いいえ、太くありません。,このきはふといですか,いいえ、ふとくありません。,Is this tree thick?,这棵树粗吗？,No，it is not thick.,不，它不粗。
22,その車は速いですか,いいえ、速くないです。,そのくるまははやいですか,いいえ、はやくないです。,Is the car fast?,那辆车快吗？,No，it is not fast.,不，它不快。
23,彼の家は駅に近いですか,いいえ、近くありません。,かれのいえはえきにちかいですか,いいえ、ちかくありません。,Is his house close to the station?,他的家离车站近吗？,No，it is not close.,不，它不近。
24,このパイプは詰まらないですか,いいえ、詰まっていません。,このぱいぷはつまりませんか,いいえ、つまっていません。,Is the pipe not clogged?,这根管道不堵吗？,No，it is not clogged.,不，它没有堵。
25,この犬は小さいですか,いいえ、小さくありません。,このいぬはちいさいですか,いいえ、ちいさくありません。,Is this dog small?,这只狗小吗？,No，it is not small.,不，它不小。
26,この部屋は狭いですか,いいえ、狭くないです。,このへやはせまいですか,いいえ、せまくないです。,Is this room small?,这个房间狭小吗？,No，it is not small.,不，它不狭小。
27,今日は寒いですか,いいえ、寒くないです。,きょうはさむいですか,いいえ、さむくないです。,Is it cold today?,今天冷吗？,No，it is not cold.,不，它不冷。
28,その映画は面白いですか,いいえ、面白くありません。,そのえいがはおもしろいですか,いいえ、おもしろくありません。,Is that movie interesting?,那部电影有趣吗？,No，it is not interesting.,不，它不有趣。
29,彼のかばんは重いですか,いいえ、重くないです。,かれのかばんはおもいですか,いいえ、おもくないです。,Is his bag heavy?,他的包重吗？,No，it is not heavy.,不，它不重。
30,この料理は美味しいですか,いいえ、美味しくありません。,このりょうりはおいしいですか,いいえ、おいしくありません。,Is this dish delicious?,这道菜美味吗？,No，it is not delicious.,不，它不好吃。
31,この部屋は明るいですか,いいえ、明るくないです。,このへやはあかるいですか,いいえ、あかるくないです。,Is this room bright?,这个房间明亮吗？,No，it is not bright.,不，它不明亮。
32,その道路は危ないですか,いいえ、危なくないです。,そのどうろはあぶないですか,いいえ、あぶなくないです。,Is the road dangerous?,那条路危险吗？,No，it is not dangerous.,不，它不危险。
33,そのイベントはすごいですか,いいえ、すごくありません。,そのいべんとはすごいですか,いいえ、すごくありません。,Is the event amazing?,那个活动很棒吗？,No，it is not amazing.,不，它不棒。
34,彼は嫌いですか,いいえ、嫌いではありません。,かれはきらいですか,いいえ、きらいではありません。,Does he dislike it?,他讨厌吗？,No，he does not dislike it.,不，他不讨厌。
35,今日は暑いですか,いいえ、暑くないです。,きょうはあついですか,いいえ、あつくないです。,Is it hot today?,今天热吗？,No，it is not hot.,不，它不热。
36,このコーヒーは熱いですか,いいえ、熱くありません。,このこーひーはあついですか,いいえ、あつくありません。,Is this coffee hot?,这杯咖啡热吗？,No，it is not hot.,不，它不热。
37,今日はひし暑いですか,いいえ、ひし暑くないです。,きょうはひしあついですか,いいえ、ひしあつくないです。,Is it oppressively hot today?,今天热得难受吗？,No，it is not oppressively hot.,不，它不热得难受。
38,この山は高いですか,いいえ、高くありません。,このやまはたかいですか,いいえ、たかくありません。,Is this mountain high?,这座山高吗？,No，it is not high.,不，它不高。
39,彼は忙しいですか,いいえ、忙しくありません。,かれはいそがしいですか,いいえ、いそがしくありません。,Is he busy?,他忙吗？,No，he is not busy.,不，他不忙。
40,この机は低いですか,いいえ、低くありません。,このつくえはひくいですか,いいえ、ひくくありません。,Is this desk low?,这张桌子低吗？,No，it is not low.,不，它不低。
41,このアイスクリームは冷たいですか,いいえ、冷たくありません。,このあいすくりーむはつめたいですか,いいえ、つめたくありません。,Is this ice cream cold?,这冰淇淋冷吗？,No，it is not cold.,不，它不冷。
42,この料理は不味いですか,いいえ、不味くないです。,このりょうりはまずいですか,いいえ、まずくないです。,Is this dish bad?,这道菜难吃吗？,No，it is not bad.,不，它不好吃。
43,この漬物は塩辛いですか,いいえ、塩辛くありません。,このつけものはしおからいですか,いいえ、しおからくありません。,Are these pickles salty?,这些腌菜咸吗？,No，they are not salty.,不，它们不咸。
44,このスープはしょっぱいですか,いいえ、しょっぱくありません。,このすーぷはしょっぱいですか,いいえ、しょっぱくありません。,Is this soup salty?,这汤咸吗？,No，it is not salty.,不，它不咸。
45,この部屋は広いですか,いいえ、広くありません。,このへやはひろいですか,いいえ、ひろくありません。,Is this room spacious?,这个房间宽敞吗？,No，it is not spacious.,不，它不宽敞。
46,この映画は良いですか,いいえ、良くありません。,このえいがはいいですか,いいえ、よくありません。,Is this movie good?,这部电影好吗？,No，it is not good.,不，它不好。
47,このテストは難しいですか,いいえ、難しくありません。,このてすとはむずかしいですか,いいえ、むずかしくありません。,Is this test difficult?,这个测试难吗？,No，it is not difficult.,不，它不难。
48,この問題は易しいですか,いいえ、易しくありません。,このもんだいはやさしいですか,いいえ、やさしくありません。,Is this problem easy?,这个问题简单吗？,No，it is not easy.,不，它不简单。
49,このカレーは辛いですか,いいえ、辛くありません。,このかれーはからいですか,いいえ、からくありません。,Is this curry spicy?,这咖喱辣吗？,No，it is not spicy.,不，它不辣。
50,この部屋は少ないですか,いいえ、少なくありません。,このへやはすくないですか,いいえ、すくなくありません。,Is this room small?,这个房间少吗？,No，it is not small.,不，它不小。
51,この本は多いですか,いいえ、多くありません。,このほんはおおいですか,いいえ、おおくありません。,Is there a lot of this book?,这本书多吗？,No，it is not a lot.,不，它不多。
52,その犬は可愛いですか,いいえ、可愛くありません。,そのいぬはかわいいですか,いいえ、かわいくありません。,Is that dog cute?,那只狗可爱吗？,No，it is not cute.,不，它不可爱。
53,そのジョークは可笑しいですか,いいえ、可笑しくありません。,そのじょーくはおかしいですか,いいえ、おかしくありません。,Is that joke funny?,那个笑话好笑吗？,No，it is not funny.,不，它不好笑。
54,彼は親しいですか,いいえ、親しくありません。,かれはしたしいですか,いいえ、したしくありません。,Is he close?,他亲近吗？,No，he is not close.,不，他不亲近。
55,今日は寂しいですか,いいえ、寂しくありません。,きょうはさびしいですか,いいえ、さびしくありません。,Is it lonely today?,今天寂寞吗？,No，it is not lonely.,不，它不寂寞。
56,この花は美しいですか,いいえ、美しくありません。,このはなはうつくしいですか,いいえ、うつくしくありません。,Is this flower beautiful?,这朵花美丽吗？,No，it is not beautiful.,不，它不美丽。
57,この計画は詳しいですか,いいえ、詳しくありません。,このけいかくはくわしいですか,いいえ、くわしくありません。,Is this plan detailed?,这个计划详细吗？,No，it is not detailed.,不，它不详细。
58,その人は偉いですか,いいえ、偉くありません。,そのひとはえらいですか,いいえ、えらくありません。,Is that person important?,那个人很重要吗？,No，he is not important.,不，他不重要。
59,この話はおかしいですか,いいえ、おかしくありません。,このはなしはおかしいですか,いいえ、おかしくありません。,Is this story strange?,这个故事奇怪吗？,No，it is not strange.,不，它不奇怪。
60,この映画はひどいですか,いいえ、ひどくありません。,このえいがはひどいですか,いいえ、ひどくありません。,Is this movie terrible?,这部电影很糟糕吗？,No，it is not terrible.,不，它不糟糕。
61,この料理はもったいないですか,いいえ、もったいなくありません。,このりょうりはもったいないですか,いいえ、もったいなくありません。,Is this dish wasteful?,这道菜浪费吗？,No，it is not wasteful.,不，它不浪费。
62,その出来事は悲しいですか,いいえ、悲しくありません。,そのできごとはかなしいですか,いいえ、かなしくありません。,Is that event sad?,那个事件悲伤吗？,No，it is not sad.,不，它不悲伤。
63,彼は弱いですか,いいえ、弱くありません。,かれはよわいですか,いいえ、よわくありません。,Is he weak?,他弱吗？,No，he is not weak.,不，他不弱。
64,その教師は厳しいですか,いいえ、厳しくありません。,そのきょうしはきびしいですか,いいえ、きびしくありません。,Is that teacher strict?,那个老师严格吗？,No，he is not strict.,不，他不严格。
65,この店は幅広いですか,いいえ、幅広くありません。,このみせははばひろいですか,いいえ、はばひろくありません。,Is this store wide in variety?,这家店的种类丰富吗？,No，it is not wide in variety.,不，它的种类不丰富。
66,この布は柔らかいですか,いいえ、柔らかくありません。,このぬのはやわらかいですか,いいえ、やわらかくありません。,Is this fabric soft?,这块布料柔软吗？,No，it is not soft.,不，它不柔软。
67,その音は力強いですか,いいえ、力強くありません。,そのおとはちからづよいですか,いいえ、ちからづよくありません。,Is that sound powerful?,那个声音有力吗？,No，it is not powerful.,不，它没有力。
68,この木は硬いですか,いいえ、硬くありません。,このきはかたいですか,いいえ、かたくありません。,Is this wood hard?,这块木头硬吗？,No，it is not hard.,不，它不硬。
69,この本は厚いですか,いいえ、厚くありません。,このほんはあついですか,いいえ、あつくありません。,Is this book thick?,这本书厚吗？,No，it is not thick.,不，它不厚。
70,この猫はおとなしいですか,いいえ、おとなしくありません。,このねこはおとなしいですか,いいえ、おとなしくありません。,Is this cat quiet?,这只猫安静吗？,No，it is not quiet.,不，它不安静。
71,あなたは恥ずかしいですか,いいえ、恥ずかしくありません。,あなたははずかしいですか,いいえ、はずかしくありません。,Are you embarrassed?,你尴尬吗？,No，I am not embarrassed.,不，我不尴尬。
72,その会議は長いですか,いいえ、長くありません。,そのかいぎはながいですか,いいえ、ながくありません。,Is that meeting long?,那个会议长吗？,No，it is not long.,不，它不长。
73,このコーヒーは苦いですか,いいえ、苦くありません。,このこーひーはにがいですか,いいえ、にがくありません。,Is this coffee bitter?,这咖啡苦吗？,No，it is not bitter.,不，它不苦。
74,その本は面白いですか,いいえ、面白くありません。,そのほんはおもしろいですか,いいえ、おもしろくありません。,Is that book interesting?,那本书有趣吗？,No，it is not interesting.,不，它不有趣。
75,この問題は深いですか,いいえ、深くありません。,このもんだいはふかいですか,いいえ、ふかくありません。,Is this problem deep?,这个问题深吗？,No，it is not deep.,不，它不深。
76,その建物は高いですか,いいえ、高くありません。,そのたてもんはたかいですか,いいえ、たかくありません。,Is that building tall?,那栋建筑高吗？,No，it is not tall.,不，它不高。
77,このラーメンは美味しいですか,いいえ、美味しくありません。,このらーめんはおいしいですか,いいえ、おいしくありません。,Is this ramen delicious?,这拉面好吃吗？,No，it is not delicious.,不，它不好吃。


