序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
30,この料理は美味しいですか,いいえ、まずいです。,このりょうりはおいしいですか,いいえ、まずいです。,Is this dish delicious?,这道菜美味吗？,No，it is not tasty.,不，它不好吃。
31,この部屋は明るいですか,いいえ、暗いです。,このへやはあかるいですか,いいえ、くらいです。,Is this room bright?,这个房间明亮吗？,No，it is dark.,不，它很暗。
32,その道路は危ないですか,いいえ、安全です。,そのどうろはあぶないですか,いいえ、あんぜんです。,Is that road dangerous?,那条道路危险吗？,No，it is safe.,不，它很安全。
33,そのイベントはすごいですか,いいえ、普通です。,そのいべんとはすごいですか,いいえ、ふつうです。,Is that event amazing?,那个活动很棒吗？,No，it is ordinary.,不，它很普通。
34,彼はその人を嫌いですか,いいえ、好きです。,かれはそのひとをきらいですか,いいえ、すきです。,Does he dislike that person?,他不喜欢那个人吗？,No，he likes them.,不，他喜欢那个人。
35,今日は暑いですか,いいえ、涼しいです。,きょうはあついですか,いいえ、すずしいです。,Is it hot today?,今天热吗？,No，it is cool.,不，它很凉爽。
36,お風呂のお湯は熱いですか,いいえ、温かいです。,おふろのおゆはあついですか,いいえ、あたたかいです。,Is the bathwater hot?,浴缸的水热吗？,No，it is warm.,不，它是温暖的。
37,今日はひし暑いですか,いいえ、過ごしやすいです。,きょうはひしあついですか,いいえ、すごしやすいです。,Is it extremely hot today?,今天非常热吗？,No，it is comfortable.,不，它很舒适。
38,このビルは高いですか,いいえ、低いです。,このびるはたかいですか,いいえ、ひくいです。,Is this building tall?,这栋楼高吗？,No，it is low.,不，它很矮。
39,最近は忙しいですか,いいえ、暇です。,さいきんはいそがしいですか,いいえ、ひまです。,Have you been busy recently?,最近忙吗？,No，I am free.,不，我很闲。
40,この机は低いですか,いいえ、高いです。,このつくえはひくいですか,いいえ、たかいです。,Is this desk low?,这张桌子低吗？,No，it is high.,不，它很高。
41,このアイスクリームは冷たいですか,いいえ、温かいです。,このあいすくりーむはつめたいですか,いいえ、あたたかいです。,Is this ice cream cold?,这个冰淇淋冷吗？,No，it is warm.,不，它是温暖的。
42,この料理は不味いですか,いいえ、美味しいです。,このりょうりはまずいですか,いいえ、おいしいです。,Is this dish bad?,这道菜难吃吗？,No，it is delicious.,不，它很好吃。
43,この料理は塩辛いですか,いいえ、甘いです。,このりょうりはしおからいですか,いいえ、あまいです。,Is this dish salty?,这道菜咸吗？,No，it is sweet.,不，它是甜的。
44,このスープはしょっぱいですか,いいえ、ちょうどいいです。,このすーぷはしょっぱいですか,いいえ、ちょうどいいです。,Is this soup salty?,这个汤咸吗？,No，it is just right.,不，它正好。
45,この部屋は広いですか,いいえ、狭いです。,このへやはひろいですか,いいえ、せまいです。,Is this room spacious?,这个房间宽敞吗？,No，it is small.,不，它很小。
46,彼の助言は良いですか,いいえ、悪いです。,かれのじょげんはよいですか,いいえ、わるいです。,Is his advice good?,他的建议好吗？,No，it is bad.,不，它不好。
47,このテストは難しいですか,いいえ、易しいです。,このてすとはむずかしいですか,いいえ、やさしいです。,Is this test difficult?,这个测试难吗？,No，it is easy.,不，它很简单。
48,この言葉の意味は正しいですか,いいえ、間違っています。,このことばのいみはただしいですか,いいえ、まちがっています。,Is the meaning of this word correct?,这个词的意思正确吗？,No，it is incorrect.,不，它不正确。
49,このカレーは辛いですか,いいえ、甘口です。,このかれーはからいですか,いいえ、あまくちです。,Is this curry spicy?,这个咖喱辣吗？,No，it is mild.,不，它是甜口的。
50,このクラスの生徒は少ないですか,いいえ、多いです。,このくらすのせいとはすくないですか,いいえ、おおいです。,Are there few students in this class?,这个班的学生少吗？,No，there are many.,不，很多。
51,彼の話は多いですか,いいえ、少ないです。,かれのはなしはおおいですか,いいえ、すくないです。,Are his stories many?,他的故事多吗？,No，they are few.,不，它们很少。
52,彼女の笑顔は可愛いですか,いいえ、美しいです。,かのじょのえがおはかわいいですか,いいえ、びしゅうです。,Is her smile cute?,她的笑容可爱吗？,No，it is beautiful.,不，它很美丽。
53,そのジョークは可笑しいですか,いいえ、つまらないです。,そのじょーくはおかしいですか,いいえ、つまらないです。,Is that joke funny?,那个笑话有趣吗？,No，it is boring.,不，它很无聊。
54,彼と私は親しいですか,いいえ、知り合いです。,かれとわたしはしたしいですか,いいえ、しりあいです。,Are we close?,我们亲近吗？,No，we are acquaintances.,不，我们是熟人。
55,彼は寂しいですか,いいえ、満足しています。,かれはさびしいですか,いいえ、まんぞくしています。,Is he lonely?,他孤单吗？,No，he is satisfied.,不，他很满足。
56,彼女のドレスは美しいですか,いいえ、普通です。,かのじょのどれすはうつくしいですか,いいえ、ふつうです。,Is her dress beautiful?,她的连衣裙美丽吗？,No，it is ordinary.,不，它很普通。
57,彼はこの地域に詳しいですか,いいえ、初めて来ました。,かれはこのちいきにくわしいですか,いいえ、はじめてきました。,Is he familiar with this area?,他对这个地区熟悉吗？,No，he is new here.,不，他是第一次来这里。
58,彼は偉いですか,いいえ、普通の人です。,かれはえらいですか,いいえ、ふつうのひとです。,Is he great?,他很了不起吗？,No，he is an ordinary person.,不，他是普通人。
59,その話はおかしいですか,いいえ、真面目な話です。,そのはなしはおかしいですか,いいえ、まじめなはなしです。,Is that story funny?,那个故事好笑吗？,No，it is serious.,不，它是认真的。
60,彼の行動はひどいですか,いいえ、適切です。,かれのこうどうはひどいですか,いいえ、てきせつです。,Are his actions terrible?,他的行为糟糕吗？,No，they are appropriate.,不，它们是恰当的。
61,彼の無駄遣いはもったいないですか,いいえ、経済的です。,かれのむだづかいはもったいないですか,いいえ、けいざいてきです。,Is his wasteful spending wasteful?,他的挥霍浪费吗？,No，it is economical.,不，它是经济的。
62,彼女は悲しいですか,いいえ、元気です。,かのじょはかなしいですか,いいえ、げんきです。,Is she sad?,她伤心吗？,No，she is energetic.,不，她很有活力。
63,彼は弱いですか,いいえ、強いです。,かれはよわいですか,いいえ、つよいです。,Is he weak?,他弱吗？,No，he is strong.,不，他很强壮。
64,その先生は厳しいですか,いいえ、優しいです。,そのせんせいはきびしいですか,いいえ、やさしいです。,Is that teacher strict?,那位老师严格吗？,No，he/she is kind.,不，他/她很温柔。
65,この店は幅広い品揃えですか,いいえ、狭いです。,このみせははばひろいしなぞろえですか,いいえ、せまいです。,Does this store have a wide range of items?,这家店的商品种类多吗？,No，it is limited.,不，它很狭窄。
66,この布は柔らかいですか,いいえ、硬いです。,このぬのはやわらかいですか,いいえ、かたいです。,Is this fabric soft?,这块布料柔软吗？,No，it is hard.,不，它是硬的。
67,彼の握手は力強いですか,いいえ、弱いです。,かれのあくしゅはちからづよいですか,いいえ、よわいです。,Is his handshake firm?,他的握手有力吗？,No，it is weak.,不，它是软的。
68,この木は硬いですか,いいえ、柔らかいです。,このきはかたいですか,いいえ、やわらかいです。,Is this wood hard?,这块木头硬吗？,No，it is soft.,不，它是软的。
69,この本は厚いですか,いいえ、薄いです。,このほんはあついですか,いいえ、うすいです。,Is this book thick?,这本书厚吗？,No，it is thin.,不，它是薄的。
70,彼はおとなしい性格ですか,いいえ、活発です。,かれはおとなしいせいかくですか,いいえ、かっぱつです。,Is he a quiet person?,他性格安静吗？,No，he is lively.,不，他很活跃。
71,彼女は恥ずかしいですか,いいえ、自信があります。,かのじょははずかしいですか,いいえ、じしんがあります。,Is she embarrassed?,她感到尴尬吗？,No，she is confident.,不，她很自信。
72,その花は珍しいですか,いいえ、よく見かけます。,そのはなはめずらしいですか,いいえ、よくみかけます。,Is that flower rare?,那朵花稀有吗？,No，it is common.,不，它很常见。
73,その映画はひどいですか,いいえ、面白かったです。,そのえいがはひどいですか,いいえ、おもしろかったです。,Is that movie terrible?,那部电影糟糕吗？,No，it was interesting.,不，它很有趣。
74,この布は粗いですか,いいえ、滑らかです。,このぬのはあらいですか,いいえ、なめらかです。,Is this cloth rough?,这块布料粗糙吗？,No，it is smooth.,不，它是光滑的。
75,このかばんは軽いですか,いいえ、重いです。,このかばんはかるいですか,いいえ、おもいです。,Is this bag light?,这个包轻吗？,No，it is heavy.,不，它是重的。
76,彼の言葉遣いは優しいですか,いいえ、厳しいです。,かれのことばづかいはやさしいですか,いいえ、きびしいです。,Is his language polite?,他说话温柔吗？,No，it is strict.,不，它是严厉的。
77,この部屋は暗いですか,いいえ、明るいです。,このへやはくらいですか,いいえ、あかるいです。,Is this room dark?,这个房间暗吗？,No，it is bright.,不，它是明亮的。

