序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
25,ワークショップは何曜日？,ワークショップは水曜日です。,わーくしょっぷはなんようび？,わーくしょっぷはすいようびです。,What day is the workshop?,工作坊是星期幾？,The workshop is on Wednesday.,工作坊是星期三。
26,アルバイトは何曜日？,アルバイトは金曜日です。,あるばいとはなんようび？,あるばいとはきんようびです。,What day is the part-time job?,兼職是星期幾？,The part-time job is on Friday.,兼職是星期五。
27,運動会は何曜日？,運動会は土曜日です。,うんどうかいはなんようび？,うんどうかいはどようびです。,What day is the sports day?,運動會是星期幾？,The sports day is on Saturday.,運動會是星期六。
28,クリスマスは何曜日？,クリスマスは木曜日です。,くりすますはなんようび？,くりすますはもくようびです。,What day is Christmas?,聖誕節是星期幾？,Christmas is on Thursday.,聖誕節是星期四。
29,新年は何曜日？,新年は月曜日です。,しんねんはなんようび？,しんねんはげつようびです。,What day is New Year?,新年是星期幾？,New Year is on Monday.,新年是星期一。
30,結婚式は何曜日？,結婚式は日曜日です。,けっこんしきはなんようび？,けっこんしきはにちようびです。,What day is the wedding?,婚禮是星期幾？,The wedding is on Sunday.,婚禮是星期日。
31,今週の何曜日？,木曜日です。,こんしゅうのなんようび？,もくようびです。,What day is it this week?,這週是星期幾？,It's Thursday.,今天是星期四。
32,来週の何曜日ですか？,土曜日です。,らいしゅうのなんようびですか？,どようびです。,What day is it next week?,下週是星期幾？,It's Saturday.,明天是星期六。
33,先週の何曜日に出張しましたか？,金曜日に出張しました。,せんしゅうのなんようびにしゅっちょうしましたか？,きんようびにしゅっちょうしました。,What day did you travel last week?,上週星期幾出差？,I traveled on Friday last week.,我上周五出差。
34,再来週の何曜日に会議がありますか？,火曜日に会議があります。,さらいしゅうのなんようびにかいぎがありますか？,かようびにかいぎがあります。,What day is the meeting in two weeks?,兩周後星期幾開會？,There is a meeting on Tuesday in two weeks.,兩周後星期二開會。
35,先々週の何曜日に友達と食事に行きましたか？,水曜日に友達と食事に行きました。,せんせんしゅうのなんようびにともだちとしょくじにいきましたか？,すいようびにともだちとしょくじにいきました。,What day did you go out for dinner with friends two weeks ago?,兩周前星期幾和朋友吃飯？,I went out for dinner with friends on Wednesday two weeks ago.,我兩周前星期三和朋友吃飯。
36,今週の何曜日に映画を見ますか？,金曜日に映画を見ます。,こんしゅうのなんようびにえいがをみますか？,きんようびにえいがをみます。,What day will you watch a movie this week?,這週星期幾看電影？,I will watch a movie on Friday.,我這周五看電影。
37,来週の何曜日に休みがありますか？,月曜日に休みがあります。,らいしゅうのなんようびにやすみがありますか？,げつようびにやすみがあります。,What day do you have off next week?,下週星期幾放假？,I have a day off on Monday next week.,我下周一放假。
38,先週の何曜日に新しいプロジェクトが始まりましたか？,火曜日に新しいプロジェクトが始まりました。,せんしゅうのなんようびにあたらしいぷろじぇくとがはじまりましたか？,かようびにあたらしいぷろじぇくとがはじまりました。,What day did the new project start last week?,上週星期幾開始新項目？,The new project started on Tuesday last week.,我上周二開始了新項目。
39,再来週の何曜日に友達と旅行に行きますか？,土曜日に友達と旅行に行きます。,さらいしゅうのなんようびにともだちとりょこうにいきますか？,どようびにともだちとりょこうにいきます。,What day will you travel with friends in two weeks?,兩周後星期幾和朋友旅行？,I will travel with friends on Saturday in two weeks.,我兩周後星期六和朋友旅行。
40,先々週の何曜日は天気が良かったですか？,木曜日は天気が良かったです。,せんせんしゅうのなんようびはてんきがよかったですか？,もくようびはてんきがよかったです。,What day was the weather good two weeks ago?,兩周前星期幾天氣好？,Thursday had good weather two weeks ago.,兩周前星期四天氣好。
41,今週の何曜日に授業がありますか？,月曜日に授業があります。,こんしゅうのなんようびにじゅぎょうがありますか？,げつようびにじゅぎょうがあります。,What day do you have class this week?,這週星期幾上課？,I have class on Monday this week.,我這周一上課。
42,来週の何曜日に新しい本が発売されますか？,水曜日に新しい本が発売されます。,らいしゅうのなんようびにてすとがありますか？,きんようびにてすとがあります。,What day is the test next week?,下週星期幾考試？,The test is on Friday next week.,我下周五考試。
43,先週の何曜日に友達とカフェに行きましたか？,金曜日に友達とカフェに行きました。,せんしゅうのなんようびにかいしゃをやすみましたか？,もくようびにかいしゃをやすみました。,What day did you take off from work last week?,上週星期幾請假不上班？,I took off from work on Thursday last week.,我上周四請假不上班。
44,再来週の何曜日に家族とピクニックに行きますか？,日曜日に家族とピクニックに行きます。,さらいしゅうのなんようびにともだちとらんちをしますか？,すいようびにともだちとらんちをします。,What day will you have lunch with friends in two weeks?,兩周後星期幾和朋友吃午餐？,I will have lunch with friends on Wednesday in two weeks.,我兩周後星期三和朋友吃午餐。
45,先々週の何曜日に試験がありましたか？,木曜日に試験がありました。,せんせんしゅうのなんようびにかぞくとあそびましたか？,きんようびにかぞくとあそびました。,What day did you play with your family two weeks ago?,兩周前星期幾和家人玩？,I played with my family on Friday two weeks ago.,我兩周前星期五和家人玩。
46,今週の何曜日に雨が降りましたか？,水曜日に雨が降りました。,こんしゅうのなんようびにかいものをしますか？,どようびにかいものをします。,What day will you go shopping this week?,這週星期幾去購物？,I will go shopping on Saturday this week.,我這周六去購物。
47,来週の何曜日にコンサートに行きますか？,土曜日にコンサートに行きます。,らいしゅうのなんようびにうんどうをしますか？,にちようびにうんどうをします。,What day will you exercise next week?,下週星期幾運動？,I will exercise on Sunday next week.,我下周日運動。
48,先週の何曜日に新しいレストランに行きましたか？,木曜日に新しいレストランに行きました。,せんしゅうのなんようびにえいがをみましたか？,げつようびにえいがをみました。,What day did you watch a movie last week?,上週星期幾看電影？,I watched a movie on Monday last week.,我上周一看電影。
49,再来週の何曜日に友達と映画を見ますか？,金曜日に友達と映画を見ます。,さらいしゅうのなんようびにあたらしいぷろじぇくとがはじまりますか？,すいようびにあたらしいぷろじぇくとがはじまります。,What day will the new project start in two weeks?,兩周後星期幾開始新項目？,The new project will start on Wednesday in two weeks.,兩周後星期三開始新項目。
50,先々週の何曜日にお祭りに行きましたか？,土曜日にお祭りに行きました。,せんせんしゅうのなんようびにともだちとはなしましたか？,きんようびにともだちとはなしました。,What day did you talk with friends two weeks ago?,兩周前星期幾和朋友聊天？,I talked with friends on Friday two weeks ago.,我兩周前星期五和朋友聊天。
51,今週の何曜日にお仕事が忙しかったですか？,火曜日にお仕事が忙しかったです。,こんしゅうのなんようびにおしごとがいそがしかったですか？,かようびにおしごとがいそがしかったです。,What day was work busy this week?,這週哪一天工作很忙？,Work was busy on Tuesday this week.,這周二工作很忙。
52,来週の何曜日にスポーツをする予定ですか？,木曜日にスポーツをする予定です。,らいしゅうのなんようびにすぽーつをするよていですか？,もくようびにすぽーつをするよていです。,What day are you planning to do sports next week?,下週星期幾打算做運動？,I plan to do sports on Thursday next week.,我下周四打算做運動。
53,先週の何曜日に友達とショッピングに行きましたか？,水曜日に友達とショッピングに行きました。,せんしゅうのなんようびにともだちとしょっぴんぐにいきましたか？,すいようびにともだちとしょっぴんぐにいきました。,What day did you go shopping with friends last week?,上週星期幾和朋友去購物？,I went shopping with friends on Wednesday last week.,我上周三和朋友去購物。
54,再来週の何曜日に家族と遠出しますか？,土曜日に家族と遠出します。,さらいしゅうのなんようびにかぞくとえんでしますか？,どようびにかぞくとえんでします。,What day will you go out with your family in two weeks?,兩周後星期幾和家人外出？,I will go out with my family on Saturday in two weeks.,我兩周後星期六和家人外出。
55,先々週の何曜日に映画を見ましたか？,金曜日に映画を見ました。,せんせんしゅうのなんようびにえいがをみましたか？,きんようびにえいがをみました。,What day did you watch a movie two weeks ago?,兩周前星期幾看電影？,I watched a movie on Friday two weeks ago.,我兩周前星期五看電影。
56,今週の何曜日に夕食に何を食べますか？,木曜日に夕食に何を食べますか？,こんしゅうのなんようびにゆうしょくになにをたべますか？,もくようびにゆうしょくになにをたべますか？,What will you eat for dinner on Thursday this week?,這週四晚上吃什麼？,What will you eat for dinner on Thursday this week?,這週四晚上吃什麼？
57,来週の何曜日に友達と遊びに行きますか？,土曜日に友達と遊びに行きます。,らいしゅうのなんようびにともだちとあそびにいきますか？,どようびにともだちとあそびにいきます。,What day will you go out with friends next week?,下週星期幾和朋友出去玩？,I will go out with friends on Saturday next week.,我下周六和朋友出去玩。
58,先週の何曜日に新しいカフェを見つけましたか？,木曜日に新しいカフェを見つけました。,せんしゅうのなんようびにあたらしいかふぇをみつけましたか？,もくようびにあたらしいかふぇをみつけました。,What day did you find a new cafe last week?,上週星期幾找到新咖啡廳？,I found a new cafe on Thursday last week.,我上周四找到了一家新咖啡廳。
59,再来週の何曜日にお祝いがありますか？,金曜日にお祝いがあります。,さらいしゅうのなんようびにおいわいがありますか？,きんようびにおいわいがあります。,What day is the celebration in two weeks?,兩周後星期幾有慶祝？,There is a celebration on Friday in two weeks.,兩周後星期五有慶祝。
60,先々週の何曜日に宿題をしましたか？,月曜日に宿題をしました。,せんせんしゅうのなんようびにしゅくだいをしましたか？,げつようびにしゅくだいをしました。,What day did you do homework two weeks ago?,兩周前星期幾做功課？,I did homework on Monday two weeks ago.,我兩周前星期一做功課。
