序号,日本語,平假名注音,中文,英文
43,電車が到着する,でんしゃがとうちゃくする,火车到达,The train arrives
44,車を運転する,くるまをうんてんする,驾车,Drive a car
45,帽子を脱ぐ,ぼうしをぬぐ,脱帽子,Take off the hat
46,書類を読む,しょるいをよむ,读文件,Read documents
47,切符を買う,きっぷをかう,买票,Buy a ticket
48,切符を集める,きっぷをあつめる,收集票,Collect tickets
49,スマホを使う,スマホをつかう,使用手机,Use a smartphone
50,自動車を修理する,じどうしゃをしゅうりする,修理汽车,Repair a car
51,自転車に乗る,じてんしゃにのる,骑自行车,Ride a bicycle
52,釣りをする,つりをする,钓鱼,Go fishing
53,本を返す,ほんをかえす,还书,Return a book
54,ギフトをもらう,ギフトをもらう,收到礼物,Receive a gift
55,薬を飲む,くすりをのむ,吃药,Take medicine
56,コーヒーを飲む,コーヒーをのむ,喝咖啡,Drink coffee
57,本を借りる,ほんをかりる,借书,Borrow a book
58,火が点く,ひがつく,火点燃,The fire starts
59,机を直す,つくえをなおす,修理桌子,Fix the desk
60,木が枯れる,きがかれる,树木枯萎,The tree withers
61,桜が咲く,さくらがさく,樱花盛开,Cherry blossoms bloom
62,色を塗る,いろをぬる,涂色,Paint color
63,絵を描く,えをかく,画画,Draw a picture
64,プレゼントを受け取る,プレゼントをうけとる,收到礼物,Receive a present
65,切手を貼る,きってをはる,贴邮票,Affix a stamp
66,電話をかける,でんわをかける,打电话,Make a phone call
67,ファックスを送る,ファックスをおくる,发送传真,Send a fax
68,資料を作る,しりょうをつくる,制作资料,Prepare materials
69,写真を撮る,しゃしんをとる,拍照片,Take a photo
70,テレビをつける,テレビをつける,开电视,Turn on the TV
71,テレビを見る,テレビをみる,看电视,Watch TV
72,電気をつける,でんきをつける,开灯,Turn on the light
73,電気を消す,でんきをけす,关灯,Turn off the light
74,野球をする,やきゅうをする,打棒球,Play baseball
75,パスポートを申請する,パスポートをしんせいする,申请护照,Apply for a passport
76,家を出る,いえをでる,离开家,Leave the house
77,ボタンを押す,ボタンをおす,按按钮,Press a button
78,風邪を引く,かぜをひく,得感冒,Catch a cold
79,風邪を治る,かぜをなおる,感冒痊愈,Recover from a cold
80,大声で笑う,おおごえでわらう,大声笑,Laugh out loud
81,道に迷う,みちにまよう,迷路,Get lost
82,メッセージを届ける,メッセージをとどける,送消息,Deliver a message
83,荷物を届ける,にもつをとどける,送货,Deliver a package
84,荷物が到着する,にもつがとうちゃくする,包裹到达,The package arrives
85,試合に勝つ,しあいにかつ,赢得比赛,Win the match
86,試合に負ける,しあいにまける,输掉比赛,Lose the match
87,勝負に負ける,しょうぶにまける,输掉比赛,Lose the contest
88,商品を注文する,しょうひんをちゅうもんする,订购商品,Order a product
89,食事を注文する,しょくじをちゅうもんする,点餐,Order a meal
90,プレゼントを包む,プレゼントをつつむ,包装礼物,Wrap a gift
91,数を数える,かずをかぞえる,数数,Count numbers
92,数が減る,かずがへる,数量减少,Numbers decrease
93,人を数える,ひとをかぞえる,计算人数,Count people
94,質問を訊く,しつもんをきく,问问题,Ask a question
95,皆んなさんの質問に答える,みんなさんのしつもんにこたえる,回答大家的问题,Answer everyone’s questions
96,意見を訊く,いけんをきく,征询意见,Ask for opinions
97,結果をもたらす,けっかをもたらす,带来结果,Bring results
98,影響をもたらす,えいきょうをもたらす,带来影响,Bring influence
99,景色が彩る,けしきがいろどる,风景变得多彩,Scenery becomes colorful
100,ドレスを着る,ドレスをきる,穿礼服,Wear a dress
101,旅行が出発する,りょこうがしゅっぱつする,旅行出发,The trip departs
102,言葉を訳す,ことばをやくす,翻译词语,Translate words
103,魚を釣る,さかなをつる,钓鱼,Catch fish
104,ビルを建てる,ビルをたてる,建造大楼,Build a building
105,時計が動く,とけいがうごく,钟表走动,The clock moves
106,予定を急ぐ,よていをいそぐ,加快计划,Rush the schedule
107,戦況を好転する,せんきょうをこうてんする,战况好转,The situation improves
108,経済が好転する,けいざいがこうてんする,经济好转,The economy improves
109,売上が減る,うりあげがへる,销售额减少,Sales decrease
110,売上が増える,うりあげがふえる,销售额增加,Sales increase
111,階段を降りる,かいだんをおりる,下楼梯,Go down the stairs
112,名前を言う,なまえをいう,说名字,Say the name
113,ことを言う,ことをいう,说事情,Speak about something
114,子供が笑う,こどもがわらう,孩子们笑,Children laugh
115,薬を売る,くすりをうる,卖药,Sell medicine
116,食べ物を包む,たべものをつつむ,包装食物,Wrap food
117,映画を見て泣く,えいがをみてなく,看电影时哭泣,Cry while watching a movie
118,数字を比べる,すうじをくらべる,比较数字,Compare numbers
119,両親が怒る,りょうしんがおこる,父母生气,Parents get angry
120,情報を調べる,じょうほうをしらべる,查信息,Check information
121,社長に感謝する,しゃちょうにかんしゃする,感谢社长,Thank the president
122,海で泳ぐ,うみでおよぐ,在海里游泳,Swim in the sea

